@relation abalone

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.3675,0.1355,0.12,13
F,0.764,0.276,0.25,13
M,0.4745,0.1865,0.168,13
M,0.88,0.4275,0.238,13
F,1.456,0.581,0.32,13
F,1.32,0.5235,0.4275,13
M,0.857,0.356,0.28,13
F,0.994,0.392,0.34,13
F,0.385,0.166,0.1345,13
M,1.8995,0.675,0.5295,13
M,1.724,0.566,0.4625,13
M,0.836,0.336,0.275,13
F,1.6365,0.694,0.44,13
M,1.7885,0.8345,0.437,13
F,0.8045,0.3345,0.21,13
M,1.1415,0.4515,0.4,13
M,1.7855,0.675,0.3245,13
I,1.1785,0.4675,0.39,13
M,1.4135,0.667,0.3555,13
M,1.6245,0.675,0.535,13
M,0.9295,0.317,0.355,13
M,0.955,0.341,0.26,13
F,1.7095,0.633,0.49,13
F,0.541,0.186,0.21,13
M,1.008,0.377,0.34,13
M,1.145,0.4915,0.343,13
M,0.769,0.2505,0.29,13
M,0.879,0.374,0.23,13
M,0.8245,0.272,0.24,13
F,0.384,0.143,0.125,13
M,1.6445,0.7305,0.46,13
M,2.173,0.801,0.646,13
F,0.9075,0.374,0.285,13
F,1.326,0.519,0.44,13
F,0.265,0.1075,0.0865,13
F,0.6355,0.1815,0.225,13
F,0.4995,0.2035,0.17,13
M,1.1595,0.4845,0.325,13
M,2.125,1.1455,0.511,13
M,1.259,0.4105,0.41,13
M,1.68,0.926,0.3935,13
I,0.711,0.337,0.205,13
F,1.234,0.6335,0.35,13
M,1.587,0.6935,0.395,13
F,1.1325,0.3825,0.32,13
F,1.277,0.4975,0.394,13
F,0.7155,0.2355,0.27,13
F,1.098,0.481,0.315,13
F,1.166,0.483,0.355,13
F,0.5735,0.219,0.195,13
M,0.93,0.3505,0.3,13
F,0.5425,0.1765,0.175,13
F,0.444,0.155,0.14,13
M,0.5795,0.1685,0.215,13
I,0.0525,0.021,0.015,5
I,0.1595,0.077,0.0435,5
I,0.125,0.06,0.035,5
I,0.1795,0.074,0.06,5
I,0.121,0.0475,0.035,5
M,0.0905,0.035,0.03,5
I,0.071,0.027,0.0225,5
I,0.2905,0.141,0.073,5
I,0.1065,0.0475,0.0285,5
I,0.1315,0.066,0.03,5
F,0.2405,0.104,0.07,5
I,0.1575,0.07,0.0425,5
I,0.132,0.072,0.033,5
M,0.079,0.034,0.025,5
I,0.141,0.062,0.037,5
I,0.092,0.0385,0.027,5
I,0.099,0.037,0.045,5
I,0.1,0.034,0.035,5
I,0.0265,0.009,0.009,5
I,0.1225,0.0545,0.035,5
I,0.0645,0.0215,0.0215,5
M,0.0915,0.033,0.03,5
I,0.1045,0.0415,0.035,5
I,0.1115,0.053,0.032,5
I,0.0985,0.0425,0.031,5
I,0.1625,0.065,0.0385,5
I,0.1235,0.059,0.0315,5
I,0.1285,0.0585,0.0365,5
I,0.2985,0.1445,0.082,5
I,0.196,0.085,0.0585,5
I,0.0835,0.039,0.025,5
I,0.0685,0.0295,0.0225,5
I,0.1075,0.044,0.038,5
I,0.1375,0.0545,0.0445,5
I,0.2675,0.1205,0.0765,5
I,0.0545,0.0215,0.02,5
M,0.1165,0.0545,0.03,5
I,0.0705,0.025,0.021,5
I,0.106,0.039,0.034,5
F,0.08,0.031,0.025,5
I,0.2815,0.1505,0.068,5
I,0.1405,0.056,0.05,5
I,0.1055,0.495,0.0315,5
I,0.0475,0.019,0.013,5
I,0.073,0.028,0.0225,5
I,0.18,0.08,0.047,5
I,0.376,0.169,0.1,5
I,0.086,0.04,0.025,5
I,0.1495,0.0605,0.045,5
I,0.1055,0.039,0.035,5
I,0.1345,0.057,0.044,5
I,0.099,0.0445,0.03,5
I,0.1055,0.435,0.04,5
I,0.1145,0.046,0.0385,5
I,0.088,0.0365,0.023,5
I,0.199,0.073,0.06,5
I,0.0965,0.0425,0.03,5
M,0.3245,0.1395,0.095,5
I,0.027,0.0105,0.009,5
M,0.035,0.0145,0.01,5
I,0.109,0.044,0.033,5
I,0.228,0.1025,0.0655,5
I,0.1985,0.0785,0.053,5
I,0.0545,0.0205,0.0155,5
I,0.021,0.0075,0.005,5
I,0.2855,0.1385,0.077,5
I,0.2315,0.096,0.0705,5
I,0.213,0.096,0.061,5
I,0.0815,0.028,0.031,5
I,0.101,0.0415,0.0335,5
I,0.064,0.0215,0.02,5
I,0.0235,0.008,0.008,5
I,0.033,0.0145,0.01,5
I,0.1585,0.0685,0.0465,5
I,0.2015,0.09,0.055,5
M,0.024,0.009,0.0075,5
I,0.0315,0.0105,0.0125,5
I,0.1075,0.0415,0.034,5
I,0.18,0.09,0.055,5
I,0.0345,0.011,0.01,5
I,0.073,0.0285,0.03,5
I,0.181,0.088,0.0495,5
I,0.15,0.0605,0.045,5
I,0.096,0.0405,0.03,5
I,0.0685,0.0245,0.0225,5
M,0.094,0.0335,0.0325,5
I,0.0865,0.0345,0.025,5
I,0.1785,0.0665,0.045,5
F,0.1885,0.0845,0.055,5
I,0.168,0.079,0.05,5
I,0.106,0.0415,0.031,5
M,0.0305,0.011,0.01,5
I,0.1115,0.048,0.03,5
I,0.0645,0.026,0.02,5
I,0.0785,0.04,0.02,5
I,0.369,0.164,0.1015,5
I,0.0705,0.0335,0.02,5
I,0.059,0.0265,0.0185,5
I,0.07,0.0315,0.02,5
I,0.2005,0.105,0.05,5
I,0.166,0.076,0.045,5
I,0.0465,0.017,0.015,5
I,0.042,0.0255,0.012,5
F,0.14,0.0515,0.04,5
I,0.029,0.012,0.0095,4
I,0.0635,0.0275,0.02,4
I,0.036,0.0125,0.011,4
I,0.059,0.027,0.015,4
M,0.0545,0.0265,0.015,4
I,0.0325,0.0135,0.0095,4
I,0.0435,0.0155,0.007,4
I,0.03,0.013,0.01,4
I,0.0145,0.0055,0.005,4
I,0.0765,0.034,0.0215,4
I,0.0175,0.005,0.005,4
I,0.1285,0.051,0.0405,4
I,0.037,0.0125,0.011,4
I,0.086,0.042,0.025,4
I,0.042,0.0175,0.015,4
I,0.0265,0.0095,0.0085,4
I,0.074,0.0305,0.02,4
I,0.0925,0.038,0.026,4
I,0.032,0.011,0.01,4
I,0.0195,0.0075,0.006,4
M,0.032,0.01,0.012,4
I,0.049,0.0215,0.015,4
I,0.034,0.012,0.005,4
I,0.117,0.0455,0.0345,4
I,0.0805,0.0345,0.0215,4
I,0.029,0.0125,0.008,4
I,0.0725,0.0285,0.021,4
I,0.097,0.0415,0.0305,4
M,0.0245,0.0095,0.008,4
I,0.0455,0.02,0.013,4
I,0.04,0.02,0.013,4
I,0.0465,0.025,0.015,4
I,0.038,0.0165,0.015,4
I,0.0105,0.005,0.0035,4
I,0.04,0.0135,0.0105,4
I,0.118,0.059,0.0305,4
I,0.1065,0.039,0.03,4
I,0.0515,0.019,0.017,4
I,0.028,0.0095,0.009,4
I,0.083,0.031,0.02,4
I,0.0515,0.019,0.036,4
M,0.147,0.06,0.045,4
I,0.018,0.0075,0.005,4
I,0.131,0.05,0.043,4
I,0.1185,0.048,0.042,4
I,0.0565,0.024,0.016,4
I,0.196,0.0875,0.064,4
I,0.071,0.03,0.0215,4
I,0.0555,0.0235,0.018,4
I,0.046,0.021,0.0065,4
I,0.0655,0.0295,0.02,4
M,0.526,0.2485,0.1555,6
I,0.251,0.124,0.07,6
I,0.2545,0.119,0.0675,6
F,0.2725,0.1115,0.08,6
M,0.8085,0.2345,0.35,6
I,0.382,0.164,0.1,6
I,0.2155,0.1005,0.0655,6
I,0.3685,0.126,0.1365,6
I,0.304,0.127,0.077,6
I,0.34,0.181,0.083,6
I,0.2155,0.0915,0.063,6
I,0.0615,0.0205,0.019,6
I,0.252,0.1105,0.066,6
F,0.17,0.076,0.05,6
F,0.874,0.3545,0.225,6
M,0.161,0.0725,0.05,6
F,0.204,0.097,0.05,6
I,0.1455,0.0595,0.05,6
I,0.1525,0.072,0.043,6
I,0.0765,0.036,0.0245,6
I,0.304,0.1455,0.0805,6
I,0.348,0.194,0.087,6
I,0.3435,0.157,0.09,6
I,0.2735,0.115,0.085,6
I,0.1105,0.045,0.035,6
I,0.3805,0.1575,0.115,6
I,0.305,0.14,0.0885,6
I,0.328,0.168,0.082,6
I,0.18,0.068,0.06,6
I,0.377,0.1645,0.105,6
I,0.067,0.027,0.018,6
I,0.0715,0.026,0.025,6
F,0.4965,0.237,0.13,6
I,0.1695,0.0695,0.0495,6
I,0.33,0.151,0.08,6
F,0.828,0.41,0.1505,6
I,0.342,0.1335,0.105,6
I,0.3225,0.143,0.091,6
I,0.0735,0.0255,0.025,6
I,0.18,0.0655,0.054,6
I,0.309,0.119,0.098,6
I,0.1255,0.055,0.039,6
I,0.355,0.1895,0.087,6
I,0.134,0.0575,0.3505,6
I,0.2985,0.1375,0.075,6
F,0.545,0.261,0.1385,6
I,0.2175,0.097,0.065,6
I,0.18,0.0745,0.0525,6
I,0.1295,0.052,0.035,6
I,0.221,0.1165,0.0635,6
I,0.217,0.1095,0.062,6
I,0.1995,0.0755,0.07,6
I,0.422,0.229,0.1,6
I,0.2215,0.095,0.07,6
I,0.1125,0.0545,0.0355,6
I,0.244,0.102,0.085,6
M,0.681,0.3095,0.1835,6
I,0.237,0.108,0.082,6
I,0.1605,0.0715,0.046,6
M,0.146,0.061,0.045,6
M,0.22,0.0855,0.085,6
I,0.394,0.166,0.1125,6
I,0.635,0.352,0.135,6
I,0.1885,0.0815,0.06,6
I,0.398,0.1185,0.0945,6
I,0.4215,0.1895,0.111,6
I,0.1445,0.0675,0.045,6
M,0.64,0.2925,0.1575,6
I,0.128,0.049,0.04,6
I,0.0295,0.0155,0.01,6
I,0.413,0.2055,0.096,6
I,0.219,0.0925,0.075,6
I,0.329,0.188,0.0825,6
I,0.151,0.063,0.045,6
I,0.083,0.0295,0.027,6
I,0.804,0.3375,0.23,6
M,0.18,0.08,0.055,6
I,0.179,0.076,0.055,6
M,0.6245,0.282,0.155,6
M,0.4475,0.2165,0.11,6
I,0.096,0.037,0.03,6
I,0.3625,0.175,0.093,6
I,0.121,0.047,0.0405,6
I,0.1735,0.0775,0.056,6
I,0.4645,0.196,0.15,6
I,0.183,0.075,0.06,6
I,0.2235,0.115,0.055,6
I,0.257,0.1015,0.0825,6
I,0.4775,0.2235,0.118,6
I,0.3685,0.16,0.102,6
I,0.179,0.0775,0.055,6
I,0.1875,0.081,0.058,6
I,0.314,0.1545,0.087,6
I,0.366,0.1705,0.11,6
I,0.2545,0.108,0.07,6
I,0.2565,0.1255,0.0645,6
M,0.2225,0.083,0.075,6
I,0.111,0.0425,0.03,6
I,0.106,0.054,0.028,6
M,0.325,0.156,0.091,6
F,0.6065,0.3005,0.15,6
M,0.217,0.0885,0.0715,6
I,0.1695,0.0835,0.041,6
I,0.2015,0.1005,0.053,6
I,0.1945,0.0925,0.055,6
I,0.117,0.05,0.0415,6
I,0.084,0.03,0.029,6
I,0.2345,0.1125,0.067,6
M,0.6765,0.3205,0.17,6
I,0.3245,0.132,0.106,6
I,0.133,0.0585,0.041,6
I,0.279,0.1255,0.088,6
M,0.6595,0.3145,0.1565,6
F,0.203,0.078,0.055,6
I,0.1385,0.056,0.037,6
I,0.3595,0.167,0.0915,6
I,0.1785,0.0785,0.054,6
I,0.4495,0.209,0.134,6
I,0.152,0.065,0.045,6
I,0.2505,0.0945,0.075,6
I,0.1245,0.0505,0.038,6
I,0.2275,0.0955,0.0715,6
I,0.3925,0.1825,0.1145,6
I,0.1485,0.064,0.045,6
I,0.127,0.048,0.04,6
I,0.2045,0.096,0.08,6
M,0.5215,0.2485,0.131,6
I,0.4725,0.2075,0.147,6
I,0.3335,0.1635,0.091,6
I,0.1365,0.0565,0.042,6
I,0.167,0.0675,0.0575,6
I,0.253,0.1155,0.075,6
I,0.1895,0.0725,0.055,6
I,0.226,0.105,0.065,6
I,0.2425,0.106,0.21,6
I,0.4845,0.211,0.142,6
I,0.394,0.208,0.106,6
F,1.3695,0.641,0.335,6
I,0.367,0.1595,0.105,6
I,0.192,0.081,0.053,6
I,0.249,0.1045,0.067,6
I,0.124,0.063,0.03,6
M,0.096,0.044,0.03,6
I,0.1755,0.081,0.07,6
I,0.197,0.0815,0.065,6
I,0.5335,0.2645,0.1345,6
I,0.1365,0.0575,0.035,6
I,0.4565,0.206,0.13,6
I,0.2055,0.075,0.062,6
I,0.183,0.0735,0.0575,6
I,0.2885,0.118,0.083,6
I,0.2215,0.097,0.0615,6
I,0.081,0.0265,0.03,6
I,0.1195,0.056,0.03,6
I,0.2675,0.116,0.0765,6
I,0.2325,0.093,0.072,6
I,0.046,0.0165,0.0135,6
I,0.237,0.115,0.07,6
F,0.482,0.23,0.1095,6
I,0.0935,0.031,0.03,6
I,0.1015,0.041,0.03,6
I,0.256,0.11,0.0755,6
M,0.1,0.0385,0.03,6
I,0.2185,0.1065,0.062,6
I,0.0605,0.0205,0.02,6
I,0.2625,0.1,0.09,6
F,0.275,0.113,0.035,6
I,0.196,0.0775,0.0445,6
M,0.1545,0.066,0.045,6
I,0.0925,0.039,0.025,6
I,0.096,0.036,0.03,6
I,0.4995,0.2965,0.1185,6
I,0.151,0.065,0.039,6
M,0.1205,0.0465,0.04,6
I,0.545,0.269,0.1305,6
I,0.232,0.1325,0.0615,6
I,0.389,0.2015,0.088,6
I,0.4315,0.19,0.1175,6
I,0.164,0.0625,0.045,6
I,0.4095,0.163,0.119,6
I,0.127,0.052,0.0345,6
I,0.4405,0.2385,0.1075,6
I,0.187,0.0825,0.05,6
I,0.097,0.0375,0.03,6
I,0.2875,0.123,0.08,6
I,0.277,0.1655,0.082,6
I,0.1775,0.079,0.054,6
M,0.219,0.0835,0.07,6
I,0.1485,0.0585,0.0425,6
I,0.2,0.08,0.055,6
I,0.1195,0.053,0.03,6
F,0.46,0.2025,0.1165,6
I,0.248,0.0935,0.07,6
I,0.092,0.037,0.03,6
M,0.3435,0.1645,0.1025,6
I,0.2075,0.098,0.062,6
M,0.2265,0.0995,0.065,6
I,0.1585,0.075,0.0455,6
I,0.2075,0.09,0.07,6
M,0.1145,0.045,0.035,6
I,0.378,0.188,0.09,6
I,0.269,0.103,0.11,6
I,0.218,0.093,0.0755,6
I,0.33,0.1405,0.095,6
I,0.215,0.084,0.055,6
I,0.163,0.0745,0.048,6
I,0.2885,0.138,0.0765,6
I,0.1075,0.051,0.027,6
F,1.1405,0.547,0.271,6
I,0.4925,0.241,0.12,6
I,0.1665,0.0595,0.06,6
I,0.215,0.1,0.065,6
I,0.309,0.115,0.0945,6
I,0.1695,0.079,0.0505,6
I,0.2815,0.1245,0.085,6
I,0.092,0.0345,0.0245,6
I,0.3205,0.1575,0.088,6
I,0.3265,0.1315,0.103,6
I,0.312,0.143,0.086,6
I,0.2435,0.122,0.06,6
I,0.131,0.0615,0.038,6
I,0.8915,0.363,0.2515,6
I,0.192,0.097,0.054,6
F,0.5915,0.3245,0.127,6
I,0.2575,0.1,0.086,6
I,0.1465,0.063,0.0415,6
I,0.3595,0.17,0.09,6
I,0.393,0.219,0.0885,6
I,0.1415,0.0675,0.0405,6
I,0.3085,0.1385,0.085,6
I,0.411,0.1945,0.098,6
I,0.2465,0.11,0.0775,6
I,0.058,0.022,0.018,6
M,1.368,0.515,0.57,21
F,0.943,0.344,0.375,21
M,1.4385,0.545,0.465,21
F,1.596,0.525,0.585,21
F,1.0595,0.358,0.445,21
M,1.3175,0.408,0.58,21
F,1.742,0.595,0.725,21
M,0.573,0.225,0.17,21
F,1.2435,0.4635,0.39,21
I,0.944,0.3845,0.265,21
M,1.247,0.472,0.4,21
F,1.597,0.6275,0.47,21
M,1.756,0.637,0.58,21
F,1.001,0.34,0.265,17
I,0.8605,0.312,0.3,17
M,1.0965,0.419,0.35,17
F,0.775,0.35,0.235,17
M,2.499,0.9265,0.7,17
F,0.959,0.2385,0.3,17
M,2.8255,1.1465,0.897,17
F,1.719,0.68,0.47,17
M,1.539,0.5635,0.57,17
F,0.5005,0.161,0.195,17
F,0.6445,0.242,0.205,17
M,2.0805,0.959,0.601,17
M,0.996,0.3835,0.325,17
F,0.97,0.336,0.295,17
F,1.1765,0.488,0.345,17
M,1.369,0.5875,0.37,17
F,1.7265,0.638,0.565,17
M,1.262,0.4835,0.41,17
M,0.8505,0.312,0.315,17
F,0.9535,0.3785,0.305,17
F,1.676,0.673,0.45,17
M,1.027,0.391,0.25,17
I,1.0885,0.3685,0.375,17
M,1.347,0.4955,0.415,17
F,0.8175,0.2795,0.26,17
M,1.229,0.524,0.395,17
M,0.7735,0.297,0.255,17
I,0.97,0.4285,0.264,17
M,2.032,0.735,0.6585,17
M,0.9425,0.3495,0.275,17
M,0.9325,0.3605,0.3,17
F,1.1745,0.4385,0.42,17
M,1.142,0.387,0.35,17
F,1.3035,0.501,0.41,17
F,0.655,0.2405,0.205,17
F,1.511,0.5095,0.51,17
F,0.949,0.3485,0.278,17
M,1.806,0.643,0.725,17
F,1.7265,0.637,0.525,17
M,0.7395,0.261,0.2645,17
M,1.407,0.566,0.455,17
F,0.6345,0.243,0.215,17
M,0.9085,0.398,0.29,17
I,0.926,0.398,0.25,17
I,1.3315,0.5805,0.435,17
I,1.278,0.41,0.37,17
I,1.1625,0.495,0.33,17
F,0.498,0.1795,0.17,17
F,1.4385,0.581,0.36,17
F,1.496,0.5775,0.475,17
M,1.62,0.6275,0.485,17
M,1.171,0.3905,0.4,17
M,1.4455,0.496,0.435,22
F,0.8685,0.3325,0.27,22
F,0.64,0.158,0.245,22
F,1.779,0.4535,0.55,22
M,0.7505,0.2475,0.255,22
I,0.002,0.001,0.0015,1
I,0.0215,0.007,0.005,3
M,0.023,0.0085,0.01,3
M,0.0385,0.0155,0.01,3
I,0.021,0.0075,0.014,3
I,0.018,0.0065,0.005,3
I,0.014,0.0055,0.004,3
I,0.041,0.015,0.0125,3
M,0.0155,0.0065,0.005,3
I,0.0375,0.018,0.011,3
I,0.0665,0.031,0.017,3
I,0.0275,0.0125,0.009,3
I,0.013,0.0045,0.004,3
I,0.008,0.0025,0.003,3
I,0.0315,0.0125,0.0105,3
M,1.3,0.4335,0.46,23
F,0.8165,0.25,0.265,23
F,0.775,0.302,0.26,23
M,1.103,0.425,0.36,23
F,1.1835,0.378,0.395,23
F,1.2255,0.381,0.435,23
F,0.7865,0.241,0.24,23
M,0.8175,0.2515,0.3,23
F,2.526,0.933,0.62,23
I,0.015,0.0045,0.005,2
F,1.2125,0.3245,0.525,27
M,2.1835,0.7535,0.885,27
F,1.406,0.4265,0.51,25
F,1.978,0.6675,0.71,24
M,1.6195,0.533,0.555,24
