@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.385,0.3,0.1225,5
I,0.29,0.21,0.048,5
I,0.32,0.24,0.07,5
I,0.27,0.2,0.034,5
I,0.41,0.32,0.141,5
I,0.295,0.22,0.0585,5
I,0.29,0.215,0.053,5
I,0.31,0.225,0.435,5
I,0.28,0.215,0.072,5
F,0.36,0.27,0.0845,5
I,0.325,0.25,0.076,5
I,0.37,0.275,0.1505,5
I,0.335,0.255,0.079,5
I,0.385,0.28,0.1025,5
M,0.275,0.205,0.0335,5
I,0.315,0.23,0.0545,5
F,0.37,0.275,0.104,5
I,0.285,0.21,0.0415,5
I,0.24,0.17,0.0205,5
M,0.175,0.125,0.0095,4
I,0.27,0.205,0.059,4
I,0.2,0.15,0.021,4
I,0.28,0.12,0.0455,4
I,0.255,0.185,0.0305,4
I,0.21,0.15,0.02,4
I,0.19,0.145,0.0165,4
I,0.3,0.215,0.048,4
I,0.225,0.17,0.024,4
I,0.185,0.135,0.011,4
I,0.14,0.105,0.005,4
I,0.275,0.2,0.038,4
I,0.245,0.18,0.03,4
I,0.275,0.195,0.0345,4
I,0.17,0.105,0.012,4
I,0.22,0.16,0.0215,4
I,0.205,0.15,0.02,4
I,0.245,0.19,0.042,4
I,0.315,0.235,0.051,4
I,0.165,0.115,0.0055,4
I,0.28,0.21,0.039,4
I,0.21,0.15,0.0175,4
I,0.2,0.145,0.0125,4
I,0.225,0.165,0.027,4
I,0.16,0.11,0.0075,4
I,0.17,0.13,0.013,4
I,0.2,0.145,0.0125,4
I,0.255,0.18,0.031,4
I,0.2,0.155,0.0155,4
I,0.185,0.13,0.012,4
I,0.245,0.205,0.034,4
I,0.24,0.18,0.0235,4
M,0.245,0.18,0.0245,4
I,0.24,0.185,0.0295,4
I,0.255,0.195,0.0285,4
I,0.25,0.18,0.0345,4
I,0.245,0.195,0.0445,4
M,0.235,0.16,0.0265,4
I,0.175,0.125,0.0095,4
I,0.25,0.175,0.0275,4
M,0.195,0.145,0.01,4
I,0.36,0.27,0.0875,4
I,0.165,0.11,0.0065,4
I,0.3,0.235,0.05,4
M,0.325,0.23,0.06,4
I,0.225,0.17,0.019,4
I,0.18,0.125,0.0095,4
I,0.21,0.15,0.0135,4
M,0.165,0.125,0.0095,4
I,0.135,0.13,0.0125,4
I,0.26,0.205,0.0415,4
I,0.13,0.095,0.005,4
M,0.495,0.375,0.282,6
I,0.365,0.27,0.0815,6
I,0.43,0.35,0.1705,6
I,0.37,0.275,0.1015,6
I,0.425,0.34,0.2015,6
I,0.255,0.195,0.0255,6
I,0.385,0.28,0.102,6
I,0.42,0.315,0.1895,6
I,0.275,0.2,0.037,6
I,0.395,0.29,0.127,6
I,0.33,0.265,0.068,6
I,0.315,0.235,0.0585,6
I,0.33,0.23,0.079,6
I,0.425,0.33,0.1315,6
I,0.37,0.29,0.108,6
I,0.58,0.435,0.363,6
I,0.17,0.125,0.009,6
I,0.34,0.26,0.0815,6
M,0.48,0.375,0.3205,6
I,0.325,0.24,0.0825,6
I,0.41,0.325,0.132,6
F,0.47,0.36,0.237,6
I,0.37,0.27,0.097,6
I,0.415,0.31,0.114,6
I,0.37,0.28,0.1255,6
F,0.345,0.25,0.078,6
I,0.375,0.26,0.09,6
I,0.415,0.31,0.167,6
I,0.435,0.325,0.1335,6
I,0.435,0.33,0.2055,6
I,0.27,0.19,0.0265,6
I,0.46,0.345,0.1895,6
I,0.325,0.225,0.0565,6
I,0.4,0.315,0.143,6
I,0.235,0.175,0.0205,6
F,0.335,0.22,0.076,6
M,0.26,0.19,0.0445,6
I,0.37,0.27,0.1325,6
I,0.385,0.265,0.124,6
M,0.5,0.39,0.3145,6
I,0.37,0.28,0.1165,6
I,0.485,0.38,0.2075,6
I,0.375,0.29,0.123,6
I,0.375,0.285,0.119,6
I,0.32,0.225,0.0675,6
I,0.35,0.25,0.0655,6
I,0.24,0.185,0.026,6
F,0.445,0.335,0.2025,6
I,0.55,0.45,0.3375,6
I,0.37,0.275,0.096,6
I,0.365,0.27,0.0915,6
M,0.53,0.41,0.3095,6
I,0.38,0.29,0.108,6
F,0.29,0.21,0.113,6
I,0.275,0.205,0.036,6
I,0.405,0.3,0.138,6
I,0.4,0.3,0.1375,6
M,0.355,0.26,0.081,6
I,0.19,0.13,0.0155,6
I,0.405,0.3,0.103,6
I,0.3,0.23,0.052,6
I,0.305,0.225,0.063,6
I,0.415,0.315,0.175,6
I,0.35,0.27,0.1,6
I,0.34,0.26,0.076,6
I,0.44,0.345,0.209,6
I,0.395,0.3,0.1155,6
I,0.32,0.235,0.064,6
I,0.4,0.32,0.194,6
I,0.4,0.315,0.116,6
M,0.485,0.37,0.2485,6
I,0.47,0.355,0.126,6
M,0.32,0.24,0.08,6
I,0.325,0.27,0.08,6
I,0.415,0.31,0.1245,6
I,0.39,0.3,0.1385,6
I,0.34,0.26,0.08,6
I,0.325,0.245,0.0755,6
F,0.66,0.475,0.641,6
I,0.26,0.2,0.037,6
I,0.4,0.295,0.1105,6
I,0.36,0.28,0.081,6
I,0.44,0.325,0.185,6
I,0.335,0.25,0.0735,6
I,0.42,0.315,0.157,6
I,0.375,0.28,0.1125,6
I,0.325,0.24,0.065,6
I,0.42,0.31,0.1255,6
I,0.33,0.245,0.058,6
M,0.335,0.235,0.066,6
I,0.235,0.18,0.022,6
I,0.435,0.33,0.219,6
I,0.415,0.315,0.1405,6
I,0.43,0.33,0.254,6
I,0.4,0.31,0.1545,6
I,0.46,0.37,0.2645,6
I,0.31,0.24,0.118,6
I,0.28,0.205,0.041,6
I,0.345,0.275,0.0755,6
I,0.36,0.265,0.0725,6
I,0.29,0.21,0.056,6
I,0.295,0.22,0.052,6
I,0.275,0.22,0.0565,6
I,0.425,0.325,0.1185,6
I,0.35,0.25,0.0715,6
I,0.455,0.375,0.2355,6
I,0.295,0.215,0.049,6
I,0.35,0.265,0.0775,6
I,0.38,0.285,0.115,6
I,0.315,0.23,0.0575,6
I,0.375,0.28,0.084,6
I,0.25,0.19,0.036,6
I,0.44,0.345,0.269,6
I,0.41,0.31,0.1635,6
F,0.385,0.3,0.1115,6
M,0.26,0.2,0.044,6
I,0.42,0.305,0.168,6
I,0.285,0.215,0.051,6
I,0.365,0.27,0.081,6
M,0.5,0.39,0.2485,6
I,0.375,0.28,0.105,6
I,0.235,0.17,0.023,6
I,0.325,0.25,0.075,6
I,0.47,0.38,0.211,6
I,0.375,0.275,0.11,6
I,0.38,0.275,0.106,6
I,0.36,0.27,0.1065,6
I,0.455,0.335,0.229,6
M,0.27,0.195,0.0385,6
I,0.375,0.275,0.093,6
I,0.36,0.27,0.097,6
I,0.37,0.29,0.1045,6
I,0.405,0.285,0.1265,6
I,0.475,0.35,0.206,6
I,0.425,0.31,0.159,6
M,0.3,0.24,0.0725,6
I,0.275,0.205,0.045,6
I,0.315,0.23,0.0625,6
I,0.285,0.215,0.031,6
I,0.28,0.215,0.063,6
I,0.435,0.325,0.1595,6
I,0.255,0.19,0.0295,6
I,0.45,0.34,0.241,6
I,0.34,0.255,0.0745,6
I,0.4,0.315,0.151,6
I,0.415,0.33,0.17,6
I,0.31,0.235,0.063,6
I,0.44,0.34,0.2965,6
I,0.38,0.275,0.11,6
I,0.31,0.225,0.0675,6
I,0.325,0.24,0.072,6
M,0.38,0.27,0.0835,6
I,0.47,0.35,0.19,6
I,0.305,0.23,0.0595,6
I,0.28,0.21,0.053,6
I,0.375,0.28,0.115,6
I,0.425,0.34,0.164,6
I,0.33,0.265,0.0775,6
I,0.415,0.31,0.181,6
I,0.335,0.245,0.0595,6
I,0.45,0.35,0.2235,6
I,0.35,0.27,0.075,6
I,0.32,0.24,0.0585,6
M,0.27,0.2,0.0465,6
I,0.365,0.27,0.1005,6
I,0.375,0.245,0.166,6
I,0.365,0.27,0.095,6
I,0.31,0.225,0.065,6
I,0.295,0.22,0.0575,6
I,0.45,0.33,0.1945,6
M,0.335,0.26,0.0855,6
I,0.43,0.325,0.119,6
M,0.36,0.27,0.083,6
I,0.44,0.35,0.1575,6
I,0.37,0.28,0.1095,6
I,0.43,0.34,0.2385,6
I,0.3,0.22,0.055,6
M,0.36,0.27,0.0885,6
F,0.475,0.36,0.3245,6
F,0.34,0.255,0.097,6
I,0.335,0.26,0.097,6
I,0.34,0.245,0.1005,6
I,0.215,0.17,0.0205,6
I,0.345,0.255,0.0925,6
I,0.295,0.22,0.0515,6
I,0.4,0.31,0.13,6
F,0.585,0.45,0.3545,6
M,0.45,0.335,0.2165,6
I,0.345,0.255,0.075,6
I,0.34,0.25,0.0775,6
I,0.355,0.27,0.079,6
I,0.375,0.275,0.1075,6
I,0.37,0.275,0.093,6
M,0.385,0.3,0.1645,6
M,0.495,0.4,0.2345,6
I,0.185,0.375,0.196,6
M,0.37,0.265,0.09,6
I,0.31,0.23,0.0505,6
I,0.44,0.33,0.163,6
I,0.41,0.325,0.208,6
F,0.465,0.35,0.23,6
I,0.35,0.265,0.081,6
I,0.435,0.34,0.1825,6
I,0.31,0.235,0.048,6
I,0.41,0.305,0.1,6
I,0.355,0.285,0.0955,6
I,0.3,0.23,0.05,6
I,0.235,0.175,0.027,6
I,0.405,0.31,0.1575,6
I,0.43,0.335,0.188,6
I,0.27,0.205,0.03,6
I,0.36,0.27,0.098,6
I,0.335,0.25,0.0695,6
I,0.205,0.14,0.0165,6
I,0.4,0.29,0.188,6
F,0.46,0.35,0.2025,6
I,0.42,0.32,0.115,6
F,0.515,0.375,0.3005,6
I,0.4,0.3,0.1335,6
I,0.45,0.33,0.16,6
I,0.275,0.195,0.054,6
I,0.375,0.275,0.1165,6
I,0.38,0.3,0.1655,6
F,0.53,0.42,0.41,6
I,0.465,0.345,0.242,6
I,0.255,0.185,0.028,6
M,0.31,0.22,0.061,6
I,0.33,0.255,0.066,6
I,0.385,0.29,0.1,6
I,0.35,0.25,0.0835,6
I,0.405,0.3,0.1455,6
I,0.38,0.28,0.115,6
I,0.385,0.285,0.0935,6
M,0.595,0.475,0.408,21
M,0.67,0.55,0.472,21
F,0.625,0.42,0.358,21
I,0.53,0.415,0.3845,21
F,0.67,0.535,0.6275,21
F,0.68,0.55,0.525,21
M,0.735,0.59,0.637,21
F,0.49,0.365,0.165,21
M,0.675,0.555,0.545,21
F,0.56,0.455,0.344,21
M,0.49,0.39,0.225,21
F,0.665,0.5,0.595,21
F,0.555,0.435,0.336,17
F,0.66,0.52,0.673,17
F,0.63,0.48,0.5015,17
M,0.58,0.465,0.401,17
F,0.615,0.5,0.488,17
F,0.71,0.565,0.638,17
F,0.57,0.44,0.3785,17
I,0.54,0.435,0.4285,17
F,0.53,0.43,0.35,17
F,0.665,0.555,0.581,17
M,0.575,0.435,0.293,17
F,0.665,0.535,0.5775,17
M,0.565,0.45,0.398,17
F,0.62,0.485,0.5095,17
M,0.575,0.4,0.3605,17
F,0.505,0.41,0.243,17
M,0.665,0.54,0.4955,17
M,0.655,0.58,0.959,17
F,0.5,0.385,0.1795,17
I,0.61,0.46,0.41,17
M,0.565,0.425,0.3495,17
M,0.625,0.5,0.5875,17
M,0.53,0.415,0.261,17
F,0.635,0.505,0.501,17
F,0.625,0.485,0.4385,17
M,0.585,0.465,0.3905,17
M,0.645,0.5,0.524,17
F,0.495,0.4,0.242,17
F,0.715,0.565,0.7245,17
M,0.595,0.48,0.4835,17
F,0.52,0.405,0.2795,17
I,0.55,0.44,0.312,17
M,0.62,0.495,0.643,17
M,0.745,0.585,0.9265,17
M,0.595,0.475,0.419,17
M,0.73,0.595,1.1465,17
M,0.655,0.485,0.6275,17
F,0.53,0.42,0.34,17
M,0.515,0.405,0.312,17
F,0.68,0.55,0.5975,17
M,0.52,0.425,0.297,17
F,0.72,0.56,0.637,17
F,0.58,0.455,0.312,17
M,0.585,0.455,0.391,17
F,0.69,0.56,0.68,17
M,0.775,0.57,0.735,17
F,0.53,0.425,0.3485,17
F,0.49,0.36,0.161,17
I,0.65,0.515,0.495,17
M,0.54,0.435,0.3835,17
I,0.635,0.505,0.5805,17
I,0.59,0.465,0.3685,17
M,0.625,0.505,0.496,22
F,0.585,0.45,0.3325,22
M,0.545,0.42,0.2475,22
F,0.64,0.525,0.4535,22
M,0.655,0.54,0.7425,22
F,0.52,0.395,0.158,22
I,0.075,0.055,0.001,1
I,0.16,0.11,0.0065,3
I,0.215,0.15,0.015,3
I,0.205,0.155,0.0235,3
I,0.18,0.13,0.0125,3
I,0.195,0.15,0.018,3
M,0.18,0.125,0.0085,3
I,0.11,0.09,0.0025,3
I,0.13,0.1,0.0045,3
M,0.155,0.11,0.0065,3
I,0.165,0.12,0.007,3
I,0.19,0.14,0.0125,3
I,0.24,0.175,0.031,3
M,0.21,0.15,0.0155,3
M,0.6,0.495,0.384,26
M,0.63,0.485,0.4335,23
F,0.45,0.38,0.25,23
F,0.62,0.47,0.381,23
F,0.55,0.415,0.302,23
F,0.8,0.63,0.933,23
M,0.61,0.49,0.425,23
M,0.515,0.4,0.2515,23
F,0.62,0.52,0.378,23
F,0.7,0.585,0.7055,29
I,0.15,0.1,0.0045,2
M,0.665,0.535,0.7535,27
F,0.55,0.465,0.3245,27
F,0.645,0.49,0.4265,25
F,0.7,0.54,0.6675,24
M,0.69,0.54,0.533,24
