@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.66,0.545,0.185,1.32,0.5305,16
M,0.635,0.515,0.17,1.275,0.509,16
M,0.475,0.365,0.14,0.6175,0.202,16
M,0.535,0.42,0.165,0.9195,0.3355,16
F,0.395,0.315,0.105,0.3515,0.1185,16
M,0.58,0.46,0.165,1.2275,0.473,16
M,0.525,0.43,0.165,0.8645,0.376,16
F,0.65,0.545,0.23,1.752,0.5605,16
F,0.72,0.595,0.225,1.969,0.8045,16
F,0.535,0.425,0.155,0.7765,0.302,16
M,0.575,0.45,0.16,0.955,0.44,16
F,0.685,0.525,0.175,1.71,0.5415,16
F,0.615,0.515,0.17,1.14,0.4305,16
F,0.63,0.5,0.155,1.005,0.367,16
F,0.55,0.44,0.155,0.946,0.313,16
M,0.565,0.465,0.15,1.1285,0.377,16
I,0.44,0.33,0.135,0.522,0.17,16
F,0.525,0.39,0.135,0.6005,0.2265,16
M,0.63,0.51,0.19,1.4985,0.4125,16
F,0.615,0.5,0.205,1.1055,0.4445,16
F,0.68,0.55,0.175,1.798,0.815,19
F,0.68,0.58,0.2,1.787,0.585,19
M,0.525,0.395,0.165,0.782,0.285,19
M,0.63,0.515,0.16,1.016,0.4215,19
F,0.505,0.425,0.14,0.85,0.275,19
F,0.705,0.555,0.2,1.4685,0.4715,19
F,0.565,0.455,0.175,1.013,0.342,19
M,0.6,0.5,0.16,1.015,0.3995,19
M,0.56,0.45,0.185,1.07,0.3805,19
I,0.45,0.355,0.12,0.412,0.1145,19
M,0.645,0.515,0.185,1.4605,0.5835,19
M,0.54,0.41,0.145,0.989,0.2815,19
F,0.53,0.41,0.165,0.8115,0.24,19
M,0.545,0.435,0.165,0.9955,0.3245,19
F,0.59,0.45,0.16,0.9,0.358,19
F,0.69,0.555,0.205,1.8165,0.7785,19
M,0.595,0.455,0.195,1.3305,0.4595,19
M,0.69,0.55,0.2,1.8465,0.732,19
F,0.645,0.525,0.19,1.4635,0.6615,19
F,0.58,0.44,0.175,1.073,0.4005,19
F,0.605,0.485,0.165,1.0105,0.435,19
M,0.7,0.535,0.16,1.7255,0.63,19
I,0.52,0.39,0.14,0.7325,0.2415,19
F,0.66,0.52,0.18,1.514,0.526,19
F,0.6,0.475,0.18,1.1805,0.4345,19
M,0.695,0.57,0.23,1.885,0.8665,19
M,0.59,0.475,0.16,0.9455,0.3815,19
F,0.55,0.44,0.15,0.8945,0.3145,19
F,0.58,0.46,0.15,0.9955,0.429,19
M,0.49,0.395,0.135,0.5545,0.213,14
M,0.565,0.44,0.175,0.9025,0.31,14
F,0.485,0.395,0.16,0.66,0.2475,14
M,0.495,0.385,0.135,0.6335,0.2,14
M,0.6,0.475,0.19,1.0875,0.403,14
M,0.515,0.38,0.175,0.9565,0.325,14
F,0.63,0.5,0.16,1.22,0.4905,14
F,0.67,0.54,0.165,1.5015,0.518,14
M,0.45,0.335,0.14,0.4625,0.164,14
F,0.485,0.365,0.14,0.6195,0.2595,14
M,0.58,0.45,0.15,0.927,0.276,14
M,0.535,0.41,0.135,0.862,0.2855,14
F,0.58,0.475,0.135,0.925,0.391,14
F,0.57,0.46,0.17,1.1,0.4125,14
I,0.45,0.345,0.135,0.443,0.1975,14
F,0.48,0.385,0.135,0.536,0.1895,14
M,0.725,0.57,0.19,2.55,1.0705,14
M,0.495,0.39,0.15,0.853,0.3285,14
M,0.56,0.44,0.14,0.971,0.443,14
M,0.76,0.575,0.19,1.829,0.7035,14
F,0.555,0.455,0.18,0.958,0.296,14
F,0.655,0.51,0.16,1.092,0.396,14
F,0.625,0.485,0.135,1.3025,0.61,14
M,0.57,0.48,0.18,0.9395,0.399,14
I,0.385,0.305,0.095,0.252,0.0915,14
F,0.635,0.51,0.175,1.2125,0.5735,14
F,0.465,0.38,0.135,0.579,0.208,14
M,0.63,0.505,0.165,1.26,0.4525,14
F,0.62,0.51,0.175,1.1255,0.4985,14
F,0.55,0.435,0.17,0.884,0.2875,14
F,0.595,0.47,0.25,1.283,0.462,14
M,0.5,0.385,0.145,0.7615,0.246,14
M,0.585,0.45,0.15,1.047,0.4315,14
M,0.73,0.585,0.225,2.2305,1.2395,14
F,0.7,0.575,0.17,1.31,0.5095,14
F,0.57,0.465,0.155,0.872,0.3245,14
M,0.64,0.51,0.19,1.613,0.6215,14
F,0.55,0.425,0.135,0.8515,0.362,14
M,0.695,0.53,0.15,1.477,0.6375,14
F,0.62,0.51,0.205,1.3475,0.4775,14
M,0.59,0.45,0.12,0.7485,0.3345,14
F,0.57,0.445,0.155,0.733,0.282,14
M,0.56,0.42,0.195,0.8085,0.3025,14
M,0.535,0.42,0.13,0.8055,0.301,14
M,0.62,0.485,0.205,1.219,0.3875,14
I,0.47,0.4,0.16,0.51,0.1615,14
F,0.525,0.405,0.115,0.72,0.3105,14
I,0.55,0.425,0.15,0.806,0.376,14
F,0.73,0.55,0.205,1.908,0.5415,14
F,0.675,0.535,0.22,1.604,0.6175,14
I,0.43,0.34,0.125,0.384,0.1375,14
M,0.65,0.525,0.19,1.4995,0.6265,14
F,0.575,0.485,0.165,1.0405,0.419,14
F,0.605,0.495,0.17,1.2385,0.528,14
F,0.665,0.525,0.18,1.5785,0.678,14
F,0.615,0.475,0.17,1.1025,0.4695,14
M,0.66,0.51,0.165,1.6375,0.7685,14
F,0.695,0.53,0.2,2.0475,0.75,14
M,0.5,0.375,0.13,0.721,0.3055,14
F,0.535,0.42,0.15,0.7365,0.2785,14
F,0.61,0.47,0.145,1.153,0.403,14
M,0.58,0.45,0.14,1.013,0.38,14
M,0.49,0.42,0.125,0.609,0.239,14
M,0.595,0.455,0.155,1.041,0.416,14
F,0.57,0.45,0.165,0.903,0.3305,14
F,0.63,0.475,0.175,1.423,0.4155,14
M,0.445,0.35,0.14,0.5905,0.2025,14
M,0.485,0.395,0.14,0.6295,0.2285,14
M,0.475,0.385,0.145,0.6175,0.235,14
M,0.665,0.535,0.195,1.606,0.5755,14
M,0.53,0.44,0.205,0.835,0.32,14
M,0.645,0.515,0.175,1.6115,0.6745,14
M,0.615,0.495,0.2,1.304,0.5795,14
I,0.625,0.465,0.155,0.972,0.404,14
M,0.55,0.41,0.125,0.7605,0.2505,14
I,0.59,0.45,0.16,0.893,0.2745,14
M,0.555,0.42,0.145,0.8695,0.3075,14
F,0.52,0.41,0.17,0.8705,0.3735,14
M,0.695,0.55,0.215,1.9565,0.7125,14
M,0.705,0.56,0.22,1.981,0.8175,14
M,0.65,0.495,0.18,1.793,0.8005,14
M,0.585,0.475,0.12,0.945,0.41,14
F,0.685,0.54,0.215,1.7025,0.664,14
I,0.44,0.345,0.12,0.487,0.1965,14
F,0.725,0.565,0.21,2.1425,1.03,14
F,0.57,0.455,0.165,1.0595,0.44,14
F,0.54,0.415,0.175,0.8975,0.275,14
F,0.75,0.61,0.235,2.5085,1.232,14
F,0.815,0.65,0.25,2.255,0.8905,14
M,0.61,0.48,0.15,1.2,0.56,14
F,0.47,0.355,0.13,0.5465,0.2005,14
M,0.43,0.33,0.095,0.34,0.1315,14
F,0.5,0.44,0.155,0.742,0.2025,14
M,0.59,0.455,0.145,1.073,0.475,14
M,0.5,0.385,0.12,0.6335,0.2305,14
F,0.625,0.515,0.18,1.3485,0.5255,14
M,0.665,0.535,0.155,1.383,0.596,14
M,0.57,0.45,0.155,0.91,0.326,14
I,0.58,0.42,0.16,0.728,0.2725,14
F,0.595,0.485,0.145,1.2515,0.5035,14
I,0.525,0.405,0.15,0.795,0.3075,14
F,0.605,0.485,0.165,1.0735,0.437,14
M,0.68,0.53,0.205,1.496,0.5825,14
F,0.55,0.465,0.15,1.082,0.3575,14
F,0.635,0.535,0.19,1.242,0.576,14
F,0.515,0.425,0.14,0.766,0.304,14
M,0.605,0.49,0.145,1.3,0.517,14
I,0.625,0.46,0.16,1.2395,0.55,14
F,0.46,0.365,0.115,0.4485,0.165,14
F,0.62,0.48,0.23,1.0935,0.403,14
M,0.645,0.5,0.19,1.5595,0.741,14
M,0.48,0.38,0.135,0.528,0.2,14
M,0.55,0.45,0.175,1.0985,0.3765,14
I,0.565,0.435,0.155,0.782,0.2715,14
F,0.61,0.485,0.165,1.087,0.4255,11
M,0.665,0.525,0.175,1.443,0.6635,11
I,0.49,0.38,0.12,0.529,0.2165,11
I,0.505,0.405,0.13,0.599,0.2245,11
M,0.685,0.52,0.15,1.3735,0.7185,11
M,0.63,0.515,0.175,1.1955,0.492,11
M,0.49,0.395,0.14,0.549,0.2215,11
M,0.68,0.53,0.18,1.529,0.7635,11
M,0.6,0.495,0.175,1.29,0.606,11
F,0.75,0.565,0.215,1.938,0.7735,11
M,0.685,0.535,0.175,1.432,0.637,11
M,0.6,0.46,0.17,1.1805,0.456,11
M,0.67,0.525,0.2,1.7405,0.6205,11
M,0.67,0.515,0.165,1.1735,0.526,11
F,0.635,0.485,0.19,1.3765,0.634,11
F,0.49,0.375,0.135,0.6125,0.2555,11
F,0.6,0.465,0.16,1.133,0.466,11
F,0.655,0.545,0.185,1.759,0.6865,11
F,0.755,0.625,0.21,2.505,1.1965,11
M,0.6,0.48,0.155,1.014,0.451,11
F,0.67,0.54,0.195,1.619,0.74,11
F,0.635,0.505,0.165,1.251,0.577,11
M,0.64,0.505,0.18,1.297,0.59,11
F,0.65,0.495,0.175,1.227,0.528,11
M,0.57,0.46,0.155,1.0005,0.454,11
M,0.565,0.39,0.125,0.744,0.352,11
M,0.545,0.44,0.14,0.8395,0.356,11
M,0.62,0.49,0.16,1.035,0.44,11
F,0.67,0.51,0.155,1.278,0.5605,11
M,0.63,0.515,0.17,1.385,0.6355,11
M,0.71,0.575,0.215,2.009,0.9895,11
F,0.655,0.515,0.155,1.309,0.524,11
F,0.6,0.5,0.17,1.13,0.4405,11
F,0.53,0.415,0.115,0.5915,0.233,11
F,0.595,0.43,0.21,1.5245,0.653,11
M,0.695,0.55,0.195,1.6645,0.727,11
I,0.52,0.395,0.115,0.6445,0.3155,11
F,0.68,0.56,0.195,1.664,0.58,11
F,0.685,0.54,0.16,1.6675,0.833,11
M,0.58,0.47,0.165,0.927,0.3215,11
M,0.665,0.515,0.19,1.6385,0.831,11
M,0.605,0.47,0.165,1.2315,0.6025,11
F,0.73,0.56,0.19,1.9425,0.799,11
F,0.555,0.425,0.14,0.788,0.282,11
F,0.58,0.46,0.12,0.9935,0.4625,11
M,0.65,0.525,0.175,1.5365,0.6865,11
I,0.625,0.485,0.16,1.15,0.5255,11
I,0.565,0.43,0.135,0.8545,0.321,11
I,0.47,0.345,0.115,0.4885,0.2005,11
I,0.61,0.49,0.16,1.1545,0.5865,11
M,0.71,0.57,0.195,1.348,0.8985,11
F,0.635,0.485,0.165,1.2695,0.5635,11
M,0.33,0.245,0.085,0.171,0.0655,11
F,0.595,0.465,0.15,1.0255,0.412,11
M,0.415,0.32,0.1,0.3005,0.1215,11
F,0.65,0.59,0.22,1.662,0.77,11
F,0.61,0.475,0.15,1.1135,0.5195,11
F,0.71,0.565,0.195,1.817,0.785,11
F,0.71,0.56,0.18,1.652,0.735,11
M,0.57,0.455,0.155,0.832,0.3585,11
M,0.61,0.47,0.15,1.1625,0.565,11
M,0.655,0.525,0.16,1.46,0.686,11
M,0.525,0.4,0.17,0.7305,0.279,11
M,0.61,0.48,0.14,1.0625,0.516,11
M,0.615,0.475,0.155,1.0735,0.4375,11
F,0.59,0.415,0.15,0.8805,0.3645,11
F,0.65,0.5,0.17,1.4045,0.694,11
M,0.6,0.475,0.175,1.3445,0.549,11
F,0.62,0.495,0.17,1.062,0.372,11
M,0.55,0.45,0.17,0.81,0.317,11
M,0.655,0.51,0.215,1.7835,0.8885,11
M,0.63,0.49,0.155,1.229,0.535,11
M,0.71,0.555,0.175,2.14,1.2455,11
F,0.695,0.565,0.19,1.7635,0.7465,11
F,0.58,0.465,0.145,0.9865,0.47,11
F,0.46,0.38,0.13,0.639,0.3,11
M,0.4,0.31,0.11,0.314,0.138,11
M,0.66,0.515,0.2,1.6465,0.749,11
F,0.615,0.475,0.175,1.194,0.559,11
F,0.64,0.485,0.145,1.1335,0.5525,11
I,0.465,0.38,0.13,0.454,0.1895,11
F,0.64,0.5,0.17,1.5175,0.693,11
F,0.65,0.525,0.19,1.385,0.8875,11
I,0.54,0.4,0.145,0.757,0.315,11
F,0.63,0.48,0.16,1.199,0.5265,11
F,0.645,0.52,0.17,1.197,0.526,11
M,0.735,0.585,0.185,2.124,0.952,11
F,0.505,0.41,0.15,0.644,0.285,11
M,0.68,0.545,0.185,1.672,0.7075,11
F,0.655,0.54,0.215,1.5555,0.695,11
M,0.465,0.36,0.125,0.4365,0.169,11
M,0.59,0.465,0.155,1.136,0.5245,11
F,0.7,0.56,0.175,1.6605,0.8605,11
M,0.51,0.395,0.125,0.5805,0.244,11
M,0.625,0.49,0.185,1.169,0.5275,11
M,0.665,0.505,0.16,1.289,0.6145,11
M,0.625,0.49,0.165,1.1835,0.517,11
M,0.72,0.565,0.2,1.787,0.718,11
I,0.55,0.445,0.145,0.783,0.3045,11
F,0.635,0.495,0.18,1.596,0.617,11
F,0.635,0.505,0.155,1.2895,0.594,11
M,0.63,0.49,0.17,1.1745,0.5255,11
M,0.6,0.46,0.155,0.9595,0.4455,11
M,0.71,0.56,0.22,2.015,0.9215,11
M,0.64,0.495,0.165,1.307,0.678,11
M,0.5,0.41,0.15,0.662,0.2815,11
F,0.64,0.5,0.165,1.1635,0.554,11
F,0.67,0.52,0.195,1.8065,0.758,11
F,0.59,0.475,0.155,0.9715,0.371,11
F,0.615,0.49,0.19,1.1345,0.4695,11
F,0.66,0.525,0.2,1.463,0.6525,11
I,0.47,0.35,0.13,0.466,0.1845,11
F,0.575,0.445,0.135,0.883,0.381,11
F,0.725,0.6,0.2,1.737,0.697,11
M,0.735,0.59,0.215,1.747,0.7275,11
I,0.49,0.385,0.14,0.5425,0.198,11
I,0.58,0.47,0.15,0.907,0.444,11
I,0.61,0.425,0.155,1.0485,0.507,11
M,0.575,0.455,0.155,1.013,0.4685,11
M,0.545,0.45,0.15,0.8795,0.387,11
F,0.6,0.475,0.155,1.059,0.441,11
F,0.63,0.495,0.165,1.3075,0.599,11
M,0.615,0.495,0.155,1.2865,0.435,11
F,0.49,0.37,0.115,0.541,0.171,11
F,0.595,0.45,0.15,1.114,0.5865,11
I,0.62,0.475,0.16,0.907,0.371,11
M,0.65,0.505,0.19,1.274,0.59,11
F,0.685,0.565,0.175,1.638,0.7775,11
M,0.745,0.565,0.215,1.931,0.896,11
M,0.55,0.42,0.145,0.7385,0.321,11
M,0.52,0.42,0.16,0.745,0.255,11
M,0.625,0.49,0.165,1.1165,0.4895,11
F,0.61,0.45,0.13,0.8725,0.389,11
I,0.62,0.49,0.16,1.066,0.446,11
F,0.545,0.415,0.15,0.7335,0.2795,11
M,0.565,0.44,0.115,0.9185,0.404,11
M,0.625,0.47,0.17,1.1665,0.4605,11
F,0.645,0.505,0.165,1.318,0.55,11
I,0.56,0.435,0.135,0.72,0.329,11
F,0.61,0.49,0.17,1.3475,0.7045,11
F,0.58,0.44,0.125,0.7855,0.363,11
M,0.6,0.495,0.185,1.1145,0.5055,11
M,0.72,0.585,0.22,1.914,0.9155,11
F,0.635,0.525,0.18,1.3695,0.634,11
F,0.695,0.535,0.2,1.5855,0.667,11
F,0.705,0.545,0.17,1.58,0.6435,11
M,0.615,0.475,0.17,1.1825,0.474,11
F,0.485,0.4,0.155,0.731,0.236,11
M,0.465,0.36,0.08,0.488,0.191,11
F,0.65,0.505,0.165,1.357,0.5725,11
F,0.52,0.405,0.14,0.6915,0.276,11
M,0.75,0.555,0.215,2.201,1.0615,11
M,0.655,0.54,0.165,1.403,0.6955,11
M,0.64,0.53,0.165,1.1895,0.4765,11
F,0.655,0.51,0.155,1.2895,0.5345,11
M,0.32,0.245,0.075,0.1555,0.0585,11
F,0.665,0.54,0.195,1.764,0.8505,11
F,0.59,0.47,0.17,0.9,0.355,11
F,0.67,0.53,0.225,1.5615,0.63,11
M,0.585,0.45,0.175,1.1275,0.4925,11
M,0.685,0.53,0.17,1.56,0.647,11
F,0.655,0.515,0.18,1.412,0.6195,11
F,0.75,0.57,0.21,2.236,1.109,11
M,0.545,0.435,0.145,0.9385,0.3685,11
F,0.63,0.495,0.2,1.4255,0.659,11
F,0.58,0.455,0.12,0.94,0.399,11
M,0.535,0.42,0.125,0.764,0.312,11
M,0.65,0.495,0.17,1.276,0.6215,11
I,0.565,0.44,0.175,0.8735,0.414,11
M,0.375,0.3,0.1,0.2465,0.104,11
F,0.445,0.335,0.14,0.4565,0.1785,11
M,0.615,0.47,0.175,1.242,0.5675,11
M,0.66,0.51,0.175,1.218,0.5055,11
I,0.525,0.43,0.15,0.7365,0.3225,11
F,0.78,0.63,0.215,2.657,1.488,11
F,0.65,0.505,0.165,1.16,0.4785,11
M,0.75,0.55,0.18,1.893,0.942,11
M,0.67,0.5,0.2,1.269,0.576,11
M,0.68,0.515,0.17,1.6115,0.8415,11
M,0.6,0.475,0.23,1.157,0.522,11
M,0.5,0.39,0.13,0.709,0.275,11
M,0.505,0.39,0.105,0.6555,0.2595,11
M,0.675,0.505,0.16,1.532,0.74,11
M,0.545,0.45,0.15,0.978,0.3365,11
F,0.665,0.52,0.165,1.6885,0.7295,11
F,0.625,0.495,0.16,1.1115,0.4495,11
M,0.65,0.515,0.18,1.463,0.658,11
F,0.53,0.455,0.165,0.9805,0.3155,11
I,0.45,0.355,0.115,0.4385,0.184,11
M,0.72,0.565,0.19,2.081,1.0815,11
M,0.7,0.555,0.2,1.858,0.73,11
I,0.53,0.42,0.13,0.8365,0.3745,11
I,0.565,0.43,0.15,0.8215,0.332,11
F,0.625,0.505,0.175,1.15,0.5475,11
M,0.645,0.49,0.175,1.32,0.6525,11
I,0.51,0.405,0.12,0.61,0.229,11
F,0.44,0.345,0.105,0.4285,0.165,11
F,0.505,0.405,0.18,0.606,0.239,11
M,0.695,0.54,0.195,1.691,0.768,11
F,0.71,0.545,0.175,1.907,0.8725,11
F,0.44,0.355,0.115,0.415,0.1585,11
M,0.645,0.51,0.16,1.1835,0.556,11
M,0.66,0.505,0.19,1.4385,0.6775,11
I,0.59,0.46,0.145,0.9015,0.419,11
F,0.52,0.405,0.12,0.627,0.2645,11
I,0.465,0.34,0.11,0.346,0.1425,11
M,0.675,0.51,0.17,1.527,0.809,11
M,0.65,0.505,0.17,1.5595,0.695,11
M,0.67,0.52,0.165,1.39,0.711,11
M,0.67,0.54,0.195,1.217,0.532,11
F,0.705,0.56,0.17,1.4575,0.607,11
F,0.66,0.505,0.185,1.528,0.69,11
M,0.62,0.5,0.18,1.3915,0.726,11
F,0.445,0.355,0.15,0.485,0.181,11
I,0.55,0.43,0.145,0.7895,0.3745,11
M,0.535,0.41,0.15,0.8105,0.345,11
M,0.52,0.41,0.115,0.77,0.263,11
F,0.625,0.52,0.18,1.354,0.4845,11
M,0.5,0.4,0.145,0.6025,0.216,11
F,0.625,0.47,0.145,0.984,0.475,11
F,0.7,0.575,0.2,1.7365,0.7755,11
M,0.71,0.565,0.205,2.198,1.012,11
F,0.565,0.445,0.125,0.8305,0.3135,11
F,0.625,0.49,0.19,1.7015,0.7465,11
F,0.665,0.515,0.185,1.3405,0.5595,11
M,0.63,0.505,0.155,1.105,0.492,11
F,0.61,0.495,0.16,1.089,0.469,11
M,0.595,0.455,0.145,0.942,0.43,11
M,0.525,0.4,0.14,0.7325,0.334,11
F,0.7,0.55,0.17,1.684,0.7535,11
M,0.605,0.49,0.165,1.1245,0.492,11
M,0.58,0.465,0.145,0.887,0.4405,11
F,0.64,0.485,0.185,1.4195,0.6735,11
F,0.58,0.465,0.165,1.1015,0.404,11
F,0.71,0.55,0.17,1.614,0.743,11
F,0.635,0.495,0.195,1.297,0.556,11
I,0.605,0.485,0.15,1.238,0.6315,11
M,0.68,0.52,0.165,1.4775,0.724,11
M,0.585,0.43,0.16,0.955,0.3625,11
M,0.65,0.525,0.185,1.488,0.665,11
M,0.64,0.525,0.185,1.707,0.763,11
F,0.695,0.56,0.22,1.834,0.8455,11
M,0.48,0.375,0.12,0.5895,0.2535,11
M,0.575,0.47,0.14,0.8375,0.3485,11
F,0.515,0.425,0.135,0.712,0.2665,11
F,0.675,0.535,0.185,1.5575,0.7035,11
M,0.6,0.465,0.165,1.0475,0.465,11
I,0.55,0.42,0.115,0.668,0.2925,11
F,0.75,0.55,0.195,1.8325,0.83,11
F,0.505,0.385,0.115,0.616,0.243,11
F,0.6,0.45,0.14,0.869,0.3425,11
M,0.63,0.495,0.175,1.2695,0.605,11
M,0.65,0.5,0.155,1.202,0.565,11
M,0.64,0.505,0.155,1.1955,0.5565,11
M,0.43,0.345,0.115,0.3045,0.0925,11
F,0.6,0.47,0.135,0.97,0.4655,11
F,0.755,0.575,0.2,2.073,1.0135,11
F,0.525,0.41,0.135,0.7085,0.293,11
M,0.42,0.34,0.125,0.4495,0.165,11
F,0.52,0.43,0.15,0.728,0.302,11
M,0.6,0.475,0.15,1.089,0.5195,11
M,0.56,0.435,0.18,0.889,0.36,11
I,0.52,0.405,0.14,0.5775,0.2,11
F,0.725,0.57,0.205,1.6195,0.744,11
F,0.585,0.455,0.17,0.9945,0.4255,11
F,0.585,0.475,0.185,0.9585,0.4145,11
F,0.605,0.485,0.165,0.9515,0.4535,11
M,0.65,0.525,0.19,1.6125,0.777,11
F,0.72,0.59,0.205,1.7495,0.7755,11
F,0.565,0.45,0.165,0.887,0.37,11
M,0.56,0.455,0.155,0.797,0.34,11
M,0.68,0.515,0.16,1.2345,0.618,11
I,0.54,0.425,0.13,0.8155,0.3675,11
M,0.7,0.545,0.185,1.6135,0.75,11
F,0.61,0.485,0.17,1.1005,0.5125,11
F,0.5,0.375,0.115,0.5945,0.185,11
F,0.635,0.485,0.155,1.073,0.467,11
M,0.655,0.52,0.18,1.492,0.7185,11
M,0.455,0.35,0.12,0.4835,0.1815,11
M,0.57,0.48,0.175,1.185,0.474,11
I,0.52,0.41,0.14,0.6625,0.2775,11
F,0.655,0.5,0.205,1.528,0.6215,11
F,0.62,0.505,0.16,1.3725,0.6285,11
F,0.725,0.53,0.19,1.7315,0.83,11
M,0.59,0.49,0.135,1.008,0.422,11
M,0.63,0.49,0.19,1.1775,0.4935,11
M,0.675,0.52,0.145,1.3645,0.557,11
F,0.55,0.43,0.155,0.785,0.289,11
M,0.585,0.45,0.15,0.997,0.4055,11
F,0.655,0.505,0.195,1.4405,0.688,11
M,0.575,0.425,0.14,0.8635,0.393,11
M,0.62,0.485,0.145,1.003,0.4655,11
M,0.67,0.535,0.19,1.669,0.7465,11
M,0.62,0.465,0.19,1.3415,0.5705,11
F,0.56,0.44,0.14,0.9285,0.3825,11
M,0.6,0.495,0.175,1.3005,0.6195,11
M,0.455,0.355,0.13,0.515,0.2,11
M,0.63,0.505,0.15,1.3165,0.6325,11
I,0.63,0.505,0.18,1.272,0.6025,11
M,0.615,0.485,0.215,0.9615,0.422,11
M,0.71,0.565,0.2,1.601,0.706,11
F,0.625,0.49,0.2,1.3825,0.5895,11
M,0.565,0.455,0.155,0.9355,0.421,11
F,0.62,0.54,0.165,1.139,0.4995,11
M,0.31,0.235,0.06,0.12,0.0415,11
F,0.54,0.42,0.14,0.805,0.369,11
M,0.655,0.59,0.2,1.5455,0.654,11
M,0.5,0.385,0.135,0.551,0.2245,11
F,0.67,0.515,0.17,1.4265,0.6605,11
M,0.625,0.485,0.17,1.437,0.5855,11
M,0.645,0.5,0.18,1.461,0.5985,11
M,0.65,0.52,0.17,1.3655,0.6155,11
F,0.64,0.495,0.17,1.2265,0.49,11
F,0.655,0.54,0.175,1.5585,0.7285,11
I,0.39,0.31,0.1,0.302,0.116,11
M,0.635,0.52,0.175,1.292,0.6,11
F,0.625,0.5,0.16,1.217,0.5725,11
M,0.63,0.48,0.185,1.21,0.53,11
F,0.495,0.385,0.135,0.6625,0.3005,11
I,0.53,0.395,0.125,0.6235,0.2975,11
M,0.635,0.495,0.15,1.081,0.4825,11
I,0.53,0.41,0.15,0.612,0.2435,11
F,0.435,0.32,0.12,0.3785,0.152,11
F,0.64,0.5,0.18,1.4995,0.593,11
F,0.625,0.49,0.175,1.233,0.5565,11
F,0.675,0.54,0.21,1.593,0.686,11
M,0.54,0.42,0.135,0.8075,0.3485,11
F,0.425,0.345,0.11,0.3665,0.125,11
M,0.715,0.55,0.175,1.825,0.938,11
M,0.69,0.55,0.195,1.777,0.769,11
F,0.625,0.49,0.155,1.2085,0.465,11
F,0.62,0.485,0.175,1.271,0.531,11
M,0.695,0.53,0.19,1.726,0.7625,11
I,0.42,0.325,0.1,0.368,0.1675,11
I,0.58,0.425,0.145,0.83,0.379,11
F,0.47,0.375,0.105,0.513,0.232,11
F,0.66,0.53,0.185,1.346,0.546,11
M,0.385,0.31,0.1,0.2845,0.1065,11
M,0.615,0.47,0.145,1.0285,0.4435,11
F,0.675,0.51,0.185,1.473,0.6295,11
M,0.77,0.605,0.175,2.0505,0.8005,11
M,0.65,0.52,0.21,1.6785,0.6665,11
M,0.675,0.515,0.15,1.312,0.556,11
F,0.7,0.555,0.22,1.666,0.647,11
F,0.6,0.465,0.155,1.04,0.4755,11
M,0.625,0.495,0.155,1.0485,0.487,11
I,0.62,0.47,0.155,0.966,0.447,11
F,0.43,0.325,0.115,0.3865,0.1475,11
M,0.53,0.42,0.165,0.8945,0.319,11
F,0.655,0.515,0.17,1.527,0.8485,11
I,0.44,0.31,0.115,0.3625,0.134,11
I,0.445,0.33,0.12,0.347,0.12,11
M,0.58,0.475,0.15,0.97,0.385,11
I,0.66,0.525,0.215,1.786,0.6725,11
M,0.38,0.285,0.1,0.2665,0.115,11
M,0.49,0.38,0.135,0.5415,0.2175,11
F,0.565,0.49,0.155,0.9245,0.405,11
F,0.61,0.475,0.14,1.133,0.5275,11
M,0.635,0.515,0.16,1.2075,0.5385,11
F,0.58,0.45,0.185,0.9955,0.3945,11
F,0.72,0.565,0.18,1.719,0.8465,11
M,0.56,0.45,0.145,0.9355,0.425,11
F,0.605,0.505,0.18,1.434,0.7285,11
F,0.475,0.38,0.145,0.57,0.167,11
F,0.41,0.32,0.115,0.387,0.165,11
M,0.53,0.41,0.165,0.732,0.189,11
F,0.65,0.52,0.195,1.6275,0.689,11
I,0.575,0.45,0.135,0.8245,0.3375,11
F,0.725,0.56,0.185,1.792,0.873,11
F,0.61,0.47,0.165,1.1785,0.566,11
M,0.63,0.48,0.15,1.271,0.6605,11
M,0.615,0.475,0.205,1.337,0.5995,11
M,0.58,0.46,0.18,1.145,0.48,11
M,0.645,0.51,0.165,1.403,0.5755,11
M,0.72,0.545,0.195,1.7475,0.8215,11
F,0.735,0.6,0.22,2.555,1.1335,11
I,0.58,0.445,0.15,0.8865,0.383,11
M,0.595,0.5,0.165,1.06,0.402,11
I,0.37,0.28,0.09,0.233,0.0905,11
M,0.705,0.55,0.21,1.4385,0.655,11
F,0.54,0.475,0.155,0.928,0.394,11
M,0.69,0.55,0.18,1.6915,0.6655,11
F,0.62,0.5,0.175,1.107,0.4895,11
F,0.585,0.46,0.15,1.0035,0.503,11
M,0.5,0.42,0.125,0.62,0.255,11
M,0.585,0.455,0.15,0.987,0.4355,11
M,0.625,0.495,0.175,1.2075,0.531,11
M,0.455,0.35,0.105,0.416,0.1625,11
I,0.46,0.35,0.12,0.4885,0.193,11
M,0.705,0.555,0.215,2.141,1.0465,11
M,0.74,0.595,0.19,2.3235,1.1495,11
